""09:48:22.215 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.215 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.216 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.216 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.216 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.217 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.217 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.218 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.218 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.219 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.219 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.220 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.221 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.221 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.222 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.223 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.223 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.224 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.224 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.224 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.225 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:22.225 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:22.225 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:22.226 [http-nio-8080-exec-6] DEBUG ua.dp.exhibitions.dao.ShowsDAO - Calling getNoOfShows in ShowsDAO
""09:48:30.024 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.web.shows.GetShowsServlet - in GetShowsServlet doPost
""09:48:30.024 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.dao.ShowsDAO - Calling getShows(with parameters) in ShowsDAO
""09:48:30.024 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - combineSqlForShowSearch() in ShowsDaoUtil
""09:48:30.026 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapShows in ShowsDAOUtil
""09:48:30.026 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:30.027 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:30.027 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:30.028 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:30.029 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:30.029 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:30.029 [http-nio-8080-exec-7] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
